model_id,actual_zone,predicted_zone,count,percentage_of_actual_zone
logistic_blind_balanced,Zone_05,Zone_08,19,12.42
logistic_blind_balanced,Zone_05,Zone_09,34,22.22
logistic_blind_balanced,Zone_05,Zone_10,14,9.15
logistic_blind_balanced,Zone_06,Zone_01,12,7.14
logistic_blind_balanced,Zone_06,Zone_02,18,10.71
logistic_blind_balanced,Zone_06,Zone_03,12,7.14
logistic_blind_balanced,Zone_06,Zone_04,9,5.36
logistic_blind_balanced,Zone_06,Zone_05,16,9.52
logistic_blind_balanced,Zone_06,Zone_06,17,10.12
logistic_blind_balanced,Zone_06,Zone_07,22,13.1
logistic_blind_balanced,Zone_06,Zone_08,15,8.93
logistic_blind_balanced,Zone_06,Zone_09,35,20.83
logistic_blind_balanced,Zone_06,Zone_10,12,7.14
logistic_blind_balanced,Zone_07,Zone_01,99,9.11
logistic_blind_balanced,Zone_07,Zone_02,98,9.02
logistic_blind_balanced,Zone_07,Zone_03,89,8.19
logistic_blind_balanced,Zone_07,Zone_04,62,5.7
logistic_blind_balanced,Zone_07,Zone_05,133,12.24
logistic_blind_balanced,Zone_07,Zone_06,139,12.79
logistic_blind_balanced,Zone_07,Zone_07,115,10.58
logistic_blind_balanced,Zone_07,Zone_08,63,5.8
logistic_blind_balanced,Zone_07,Zone_09,228,20.98
logistic_blind_balanced,Zone_07,Zone_10,61,5.61
logistic_blind_balanced,Zone_08,Zone_01,79,9.1
logistic_blind_balanced,Zone_08,Zone_02,66,7.6
logistic_blind_balanced,Zone_08,Zone_03,71,8.18
logistic_blind_balanced,Zone_08,Zone_04,55,6.34
logistic_blind_balanced,Zone_08,Zone_05,88,10.14
logistic_blind_balanced,Zone_08,Zone_06,129,14.86
logistic_blind_balanced,Zone_08,Zone_07,61,7.03
logistic_blind_balanced,Zone_08,Zone_08,71,8.18
logistic_blind_balanced,Zone_08,Zone_09,192,22.12
logistic_blind_balanced,Zone_08,Zone_10,56,6.45
logistic_blind_balanced,Zone_09,Zone_01,2,4.35
logistic_blind_balanced,Zone_09,Zone_02,6,13.04
logistic_blind_balanced,Zone_09,Zone_03,5,10.87
logistic_blind_balanced,Zone_09,Zone_04,2,4.35
logistic_blind_balanced,Zone_09,Zone_05,8,17.39
logistic_blind_balanced,Zone_09,Zone_06,3,6.52
logistic_blind_balanced,Zone_09,Zone_07,2,4.35
logistic_blind_balanced,Zone_09,Zone_08,9,19.57
logistic_blind_balanced,Zone_09,Zone_09,6,13.04
logistic_blind_balanced,Zone_09,Zone_10,3,6.52
logistic_blind_balanced,Zone_10,Zone_01,22,9.48
logistic_blind_balanced,Zone_10,Zone_02,22,9.48
logistic_blind_balanced,Zone_10,Zone_03,16,6.9
logistic_blind_balanced,Zone_10,Zone_04,19,8.19
logistic_blind_balanced,Zone_10,Zone_05,26,11.21
logistic_blind_balanced,Zone_10,Zone_06,31,13.36
logistic_blind_balanced,Zone_10,Zone_07,18,7.76
logistic_blind_balanced,Zone_10,Zone_08,13,5.6
logistic_blind_balanced,Zone_10,Zone_09,51,21.98
logistic_blind_balanced,Zone_10,Zone_10,14,6.03
knn_full,Zone_01,Zone_01,248,100.0
knn_full,Zone_01,Zone_02,0,0.0
knn_full,Zone_01,Zone_03,0,0.0
knn_full,Zone_01,Zone_04,0,0.0
knn_full,Zone_01,Zone_05,0,0.0
knn_full,Zone_01,Zone_06,0,0.0
knn_full,Zone_01,Zone_07,0,0.0
knn_full,Zone_01,Zone_08,0,0.0
knn_full,Zone_01,Zone_09,0,0.0
knn_full,Zone_01,Zone_10,0,0.0
knn_full,Zone_02,Zone_01,0,0.0
knn_full,Zone_02,Zone_02,315,100.0
knn_full,Zone_02,Zone_03,0,0.0
knn_full,Zone_02,Zone_04,0,0.0
knn_full,Zone_02,Zone_05,0,0.0
knn_full,Zone_02,Zone_06,0,0.0
knn_full,Zone_02,Zone_07,0,0.0
knn_full,Zone_02,Zone_08,0,0.0
knn_full,Zone_02,Zone_09,0,0.0
knn_full,Zone_02,Zone_10,0,0.0
knn_full,Zone_03,Zone_01,1,0.27
knn_full,Zone_03,Zone_02,0,0.0
knn_full,Zone_03,Zone_03,363,99.73
knn_full,Zone_03,Zone_04,0,0.0
knn_full,Zone_03,Zone_05,0,0.0
knn_full,Zone_03,Zone_06,0,0.0
knn_full,Zone_03,Zone_07,0,0.0
knn_full,Zone_03,Zone_08,0,0.0
knn_full,Zone_03,Zone_09,0,0.0
knn_full,Zone_03,Zone_10,0,0.0
knn_full,Zone_04,Zone_01,0,0.0
knn_full,Zone_04,Zone_02,1,0.19
knn_full,Zone_04,Zone_03,1,0.19
knn_full,Zone_04,Zone_04,517,99.61
knn_full,Zone_04,Zone_05,0,0.0
knn_full,Zone_04,Zone_06,0,0.0
knn_full,Zone_04,Zone_07,0,0.0
knn_full,Zone_04,Zone_08,0,0.0
knn_full,Zone_04,Zone_09,0,0.0
knn_full,Zone_04,Zone_10,0,0.0
knn_full,Zone_05,Zone_01,0,0.0
knn_full,Zone_05,Zone_02,0,0.0
knn_full,Zone_05,Zone_03,0,0.0
knn_full,Zone_05,Zone_04,0,0.0
knn_full,Zone_05,Zone_05,152,99.35
knn_full,Zone_05,Zone_06,0,0.0
knn_full,Zone_05,Zone_07,0,0.0
knn_full,Zone_05,Zone_08,1,0.65
knn_full,Zone_05,Zone_09,0,0.0
knn_full,Zone_05,Zone_10,0,0.0
knn_full,Zone_06,Zone_01,0,0.0
knn_full,Zone_06,Zone_02,0,0.0
knn_full,Zone_06,Zone_03,0,0.0
knn_full,Zone_06,Zone_04,0,0.0
knn_full,Zone_06,Zone_05,0,0.0
knn_full,Zone_06,Zone_06,151,89.88
knn_full,Zone_06,Zone_07,17,10.12
knn_full,Zone_06,Zone_08,0,0.0
knn_full,Zone_06,Zone_09,0,0.0
knn_full,Zone_06,Zone_10,0,0.0
knn_full,Zone_07,Zone_01,0,0.0
knn_full,Zone_07,Zone_02,0,0.0
knn_full,Zone_07,Zone_03,0,0.0
knn_full,Zone_07,Zone_04,0,0.0
knn_full,Zone_07,Zone_05,0,0.0
knn_full,Zone_07,Zone_06,1,0.09
knn_full,Zone_07,Zone_07,899,82.7
knn_full,Zone_07,Zone_08,187,17.2
knn_full,Zone_07,Zone_09,0,0.0
knn_full,Zone_07,Zone_10,0,0.0
knn_full,Zone_08,Zone_01,1,0.12
knn_full,Zone_08,Zone_02,0,0.0
knn_full,Zone_08,Zone_03,0,0.0
knn_full,Zone_08,Zone_04,0,0.0
knn_full,Zone_08,Zone_05,0,0.0
knn_full,Zone_08,Zone_06,0,0.0
knn_full,Zone_08,Zone_07,151,17.4
knn_full,Zone_08,Zone_08,716,82.49
knn_full,Zone_08,Zone_09,0,0.0
knn_full,Zone_08,Zone_10,0,0.0
knn_full,Zone_09,Zone_01,0,0.0
knn_full,Zone_09,Zone_02,0,0.0
knn_full,Zone_09,Zone_03,0,0.0
knn_full,Zone_09,Zone_04,0,0.0
knn_full,Zone_09,Zone_05,0,0.0
knn_full,Zone_09,Zone_06,0,0.0
knn_full,Zone_09,Zone_07,1,2.17
knn_full,Zone_09,Zone_08,1,2.17
knn_full,Zone_09,Zone_09,41,89.13
knn_full,Zone_09,Zone_10,3,6.52
knn_full,Zone_10,Zone_01,0,0.0
knn_full,Zone_10,Zone_02,0,0.0
knn_full,Zone_10,Zone_03,0,0.0
knn_full,Zone_10,Zone_04,0,0.0
knn_full,Zone_10,Zone_05,0,0.0
knn_full,Zone_10,Zone_06,0,0.0
knn_full,Zone_10,Zone_07,0,0.0
knn_full,Zone_10,Zone_08,0,0.0
knn_full,Zone_10,Zone_09,0,0.0
knn_full,Zone_10,Zone_10,232,100.0
knn_blind,Zone_01,Zone_01,18,7.26
knn_blind,Zone_01,Zone_02,26,10.48
knn_blind,Zone_01,Zone_03,25,10.08
knn_blind,Zone_01,Zone_04,29,11.69
knn_blind,Zone_01,Zone_05,5,2.02
knn_blind,Zone_01,Zone_06,3,1.21
knn_blind,Zone_01,Zone_07,87,35.08
knn_blind,Zone_01,Zone_08,53,21.37
knn_blind,Zone_01,Zone_09,0,0.0
knn_blind,Zone_01,Zone_10,2,0.81
knn_blind,Zone_02,Zone_01,29,9.21
knn_blind,Zone_02,Zone_02,36,11.43
knn_blind,Zone_02,Zone_03,33,10.48
knn_blind,Zone_02,Zone_04,46,14.6
knn_blind,Zone_02,Zone_05,3,0.95
knn_blind,Zone_02,Zone_06,7,2.22
knn_blind,Zone_02,Zone_07,95,30.16
knn_blind,Zone_02,Zone_08,62,19.68
knn_blind,Zone_02,Zone_09,0,0.0
knn_blind,Zone_02,Zone_10,4,1.27
knn_blind,Zone_03,Zone_01,41,11.26
knn_blind,Zone_03,Zone_02,32,8.79
